Row Labels,Acb,Act,At,Ba,Bg,Bl,Bp,Cw,Dr,Ep,Fd,Hm,Hw,La,Lt,Lw,Mb,Pa,Pl,Pw,Py,Qg,Ra,Sb,Se,Ss,Sw,Sx,Sxs,Yc
CWHmm2/07,,,,3,,,,3,,,,3,3,,,,,,,,,,,,,,,,,1
CWHmm2/08,,,,3,,,,3,,,1,,2,,,,,,,,,,,,,,,,,2
CWHmm2/09,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1
CWHmm2/10,,,,,,,,3,,,,,1,,,,,,,1,,,,,,,,,,1
CWHms1/01,,1,,3,,,1,3,1,1,3,,3,,,,1,,,,,,,,2,,,,,
CWHms1/02,,,,,,,,,,1,2,,,,,,,,3,,,,,,,,,,,
CWHms1/03,,1,,,,,,3,1,1,3,,1,,,,1,,,,,,,,2,,,,,
CWHms1/04,,3,,3,,,1,3,1,1,3,,2,,,,1,,,1,,,,,2,,,,,2
CWHms1/05,,1,,2,,,,3,1,1,,,3,,,,1,,,,,,,,,,,,,2
CWHms1/06,,3,,2,2,,1,3,1,1,3,,1,,,,1,,,,,,,,2,,,,,2
CWHms1/07,,3,,3,,,,3,1,1,1,,,,,,1,,,,,,,,1,3,,,,
CWHms1/08,,3,,2,,,,2,1,1,,,,,,,1,,,,,,,,,,,,,
CWHms1/09,,1,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,
CWHms1/10,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,
CWHms1/11,,1,,,,,,3,1,1,,,,,,,1,,,1,,,,,1,1,,,,2
CWHms2/01,,1,,3,,,,2,1,1,3,,2,,,,1,,,,,,,,,,,,,
CWHms2/02,,,,,,,,,,1,2,,,,,,,,3,,,,,,,,,,,
CWHms2/03,,1,,,,,,1,1,1,3,,1,,,,1,,2,,,,,,,,,,,
CWHms2/04,,3,,3,,,,1,3,1,3,,3,,,,3,,,,,,,,1,1,,,,
CWHms2/05,,1,,2,,1,,1,3,1,,,3,,,,1,,,,,,,,,1,,,,
CWHms2/06,,3,,3,,,,3,3,1,3,,1,,,,3,,,,,,,,1,1,,,,
CWHms2/07,,3,,3,,,,3,3,1,,,,,,,3,,,,,,,,1,1,,,,
CWHms2/08,,3,,2,,,,2,3,1,,,,,,,3,,,,,,,,,,,,,
CWHms2/09,,1,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,
CWHms2/10,,,,,,,,1,,1,,,,,,,,,3,,,,,,,,,,,
CWHms2/11,,1,,,,,,3,1,1,,,1,,,,1,,,,,,,,,1,,,,
CWHvh1/01,,,,1,,,,3,1,,,,3,,,,1,,2,,,,,,,1,,,,3
CWHvh1/02,,,,,,,,2,1,,,,1,,,,,,3,,,,,,,,,,,2
CWHvh1/03,,,,,,,,3,1,,,,3,,,,1,,3,,,,,,,,,,,3
CWHvh1/04,,,,3,,,,2,1,,,,3,,,,1,,,,,,,,,2,,,,
CWHvh1/05,,,,3,,,,3,3,,,,2,,,,1,,,,,,,,,2,,,,3
CWHvh1/06,,,,3,,,,3,3,,,,2,,,,1,,,,,,,,,2,,,,3
CWHvh1/07,,,,3,,,,3,3,,,,2,,,,1,,,,,,,,,2,,,,
CWHvh1/08,,,,2,,,,3,3,,,,1,,,,1,,,,,,,,,3,,,,
CWHvh1/09,,,,2,,,,2,3,,,,1,,,,1,,,,,,,,,3,,,,
CWHvh1/10,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
CWHvh1/11,,,,,,,,3,1,,,,3,,,,,,3,,,,,,,,,,,3
CWHvh1/12,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,2
CWHvh1/13,,,,,,,,3,1,,,,1,,,,1,,1,,,,,,,1,,,,3
CWHvh1/14,,,,,,,,1,1,,,,1,,,,,,1,,,,,,,3,,,,
CWHvh1/15,,,,,,,,1,1,,,,1,,,,,,,,,,,,,3,,,,
CWHvh1/16,,,,,,,,1,1,,,,1,,,,,,1,,,,,,,3,,,,
CWHvh1/17,,,,,,,,2,1,,,,2,,,,,,,,,,,,,3,,,,
CWHvh1/18,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,
CWHvh1/19,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
CWHvh2/01,,,,1,,,,3,1,,,,3,,,,,,2,,,,,,,1,,,,2
CWHvh2/02,,,,,,,,2,1,,,,1,,,,,,3,,,,,,,,,,,2
CWHvh2/03,,,,,,,,3,1,,,,3,,,,,,3,,,,,,,1,,,,3
CWHvh2/04,,,,3,,,,2,1,,,,3,,,,,,,,,,,,,3,,,,1
CWHvh2/05,,,,3,,,,3,3,,,,2,,,,,,,,,,,,,3,,,,1
CWHvh2/06,,,,3,,,,3,3,,,,2,,,,,,,,,,,,,3,,,,1
CWHvh2/07,,,,3,,,,3,3,,,,2,,,,,,,,,,,,,3,,,,1
CWHvh2/08,,,,2,,,,3,3,,,,2,,,,,,,,,,,,,3,,,,
CWHvh2/09,,,,2,,,,2,3,,,,1,,,,,,,,,,,,,3,,,,
CWHvh2/10,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CWHvh2/11,,,,,,,,3,1,,,1,3,,,,,,2,,,,,,,,,,,3
CWHvh2/12,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,3
CWHvh2/13,,,,1,,,,3,1,,,1,1,,,,,,1,,,,,,,1,,,,3
CWHvh2/14,,,,,,,,1,1,,,,1,,,,,,1,,,,,,,3,,,,
CWHvh2/15,,,,,,,,1,1,,,,1,,,,,,,,,,,,,3,,,,
CWHvh2/16,,,,,,,,1,1,,,,1,,,,,,1,,,,,,,3,,,,
CWHvh2/17,,,,,,,,2,1,,,,2,,,,,,,,,,,,,3,,,,1
CWHvh2/18,,,,,,,,3,1,,,,,,,,,,,,,,,,,3,,,,
CWHvh2/19,,1,,,,,,3,1,,,,,,,,,,,,,,,,,3,,,,
CWHvh3/101a,,,,,,,,3,1,,,,3,,,,,,2,,,,,,,1,,,,2
CWHvh3/101b and c,,,,,,,,3,1,,,,3,,,,,,2,,,,,,,,,,,2
CWHvh3/102,,,,,,,,2,1,,,,1,,,,,,3,,,,,,,,,,,2
CWHvh3/103.1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,3,,,,
CWHvh3/103.2,,,,,,,,1,1,,,,1,,,,,,,,,,,,,3,,,,
CWHvh3/104,,,,,,,,1,1,,,,1,,,,,,,,,,,,,3,,,,
CWHvh3/105,,,,,,,,3,1,,,,3,,,,,,,,,,,,,3,,,,1
CWHvh3/106,,,,,,,,3,3,,,,2,,,,,,,,,,,,,3,,,,1
CWHvh3/110,,,,,,,,3,3,,,,2,,,,,,,,,,,,,3,,,,1
CWHvh3/111,,,,,,,,2,3,,,,2,,,,,,,,,,,,,3,,,,
CWHvh3/112,,,,,,,,2,3,,,,1,,,,,,,,,,,,,3,,,,
CWHvh3/113,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
CWHvh3/114,,,,,,,,3,3,,,,2,,,,,,,,,,,,,3,,,,1
CWHvh3/115,,,,,,,,3,1,,,,3,,,,,,2,,,,,,,,,,,3
CWHvh3/116,,,,,,,,2,1,,,,1,,,,,,,,,,,,,3,,,,
CWHvh3/117a,,,,,,,,3,1,,,,1,,,,,,1,,,,,,,2,,,,3
CWHvh3/117b,,,,,,,,3,1,,,,1,,,,,,1,,,,,,,1,,,,3
CWHvh3/Wb53,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,3
CWHvm1/01,,1,,3,,,,3,3,,2,,3,,,,1,,,,,,,,,2,,,,
CWHvm1/02,,,,,,,,2,,,2,,2,,,,,,3,,,,,,,,,,,
CWHvm1/03,,1,,,,,,3,1,,2,,3,,,,1,,2,,,,,,,,,,,
CWHvm1/04,,1,,3,,,,3,1,,2,,3,,,,3,,,,,,,,,2,,,,
CWHvm1/05,,1,,3,,,,3,1,,2,,2,,,,3,,,,,,,,,2,,,,
CWHvm1/06,,1,,3,,,,3,3,,,,3,,,,1,,,,,,,,,2,,,,1
CWHvm1/07,,3,,3,,,,3,3,,3,,2,,,,3,,,,,,,,,2,,,,
CWHvm1/08,,3,,3,,,,3,3,,,,2,,,,,,,,,,,,,2,,,,
CWHvm1/09,,3,,3,,,,3,3,,,,2,,,,3,,,,,,,,,1,,,,
CWHvm1/10,,3,,2,,,,2,3,,,,,,,,3,,,,,,,,,1,,,,
CWHvm1/11,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
CWHvm1/12,,,,,,,,3,1,,,1,3,,,,,,2,,,,,,,,,,,3
CWHvm1/13,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,
CWHvm1/14,,1,,,,,,3,1,,,,1,,,,1,,1,,,,,,,1,,,,
CWHvm2/01,,,,3,,,,3,,,3,1,3,,,,,,,,,,,,,2,,,,2
CWHvm2/02,,,,,,,,2,,,2,1,2,,,,,,3,,,,,,,,,,,2
CWHvm2/03,,,,,,,,3,,,2,1,3,,,,,,2,1,,,,,,,,,,2
CWHvm2/04,,,,2,,,,3,,,2,1,3,,,,,,,1,,,,,,1,,,,2
CWHvm2/05,,,,3,,,,3,,,3,1,2,,,,,,,,,,,,,2,,,,2
CWHvm2/06,,,,3,,,,3,,,3,1,3,,,,,,,,,,,,,1,,,,2
CWHvm2/07,,,,3,,,,3,,,3,1,2,,,,,,,,,,,,,2,,,,2
CWHvm2/08,,,,3,,,,3,,,,1,2,,,,,,,,,,,,,2,,,,2
CWHvm2/09,,,,3,,,,3,,,,2,3,,,,,,1,,,,,,,,,,,3
CWHvm2/10,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,3
CWHvm2/11,,,,,,,,3,,,,1,1,,,,,,,,,,,,,1,,,,3
CWHwh1/101,,,,,,,,3,3,,,,3,,,,,,,,,,,,,3,,,,
CWHwh1/102,,,,,,,,3,1,,,,3,,,,,,1,,,,,,,2,,,,
CWHwh1/103.1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,3,,,,
CWHwh1/103.2,,,,,,,,1,1,,,,1,,,,,,,,,,,,,3,,,,
CWHwh1/104,,,,,,,,1,1,,,,1,,,,,,,,,,,,,3,,,,
CWHwh1/105,,,,,,,,3,3,,,,2,,,,,,,,,,,,,3,,,,
CWHwh1/110,,,,,,,,3,1,,,,3,,,,,,1,,,,,,,1,,,,
CWHwh1/111,,,,,,,,3,3,,,,2,,,,,,,,,,,,,3,,,,
CWHwh1/112,,,,,,,,2,3,,,,2,,,,,,,,,,,,,3,,,,
CWHwh1/113,,,,,,,,2,3,,,,1,,,,,,,,,,,,,3,,,,
CWHwh1/114,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
CWHwh1/115,,,,,,,,3,1,,,1,2,,,,,,1,,,,,,,,,,,2
CWHwh1/116,,,,,,,,3,3,,,,2,,,,,,,,,,,,,3,,,,
CWHwh1/117,,,,,,,,2,1,,,,1,,,,,,,,,,,,,3,,,,
CWHwh1/118a,,,,,,,,3,1,,,,1,,,,,,1,,,,,,,2,,,,1
CWHwh1/118b,,,,,,,,3,1,,,,1,,,,,,1,,,,,,,1,,,,1
CWHwh1/Wb51,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,1
CWHwh2/101,,,,,,,,2,,,,1,3,,,,,,,,,,,,,2,,,,3
CWHwh2/101c,,,,,,,,2,,,,1,3,,,,,,,,,,,,,1,,,,3
CWHwh2/110,,,,,,,,2,,,,1,3,,,,,,,,,,,,,2,,,,3
CWHwh2/111,,,,,,,,1,,,,2,2,,,,,,,,,,,,,1,,,,3
CWHwh2/112a,,,,,,,,2,,,,1,3,,,,,,,,,,,,,2,,,,3
CWHwh2/112b,,,,,,,,2,,,,1,2,,,,,,,,,,,,,2,,,,3
CWHwm/01,,,,2,,,,2,1,,,2,3,,,,,,,,,,,,,3,,,,1
CWHwm/02,,,,,,,,2,1,,,2,3,,,,,,3,,,,,,,1,,,,
CWHwm/03,,1,,2,,,,2,1,,,,2,,,,,,,,,,,,,3,,,,1
CWHwm/04,,1,,2,,,,2,1,,,,2,,,,,,,,,,,,,3,,,,1
CWHwm/05,,1,,2,,,,2,1,,,,2,,,,,,,,,,,,,3,,,,
CWHwm/06,,1,,2,,,,2,1,,,,,,,,,,,,,,,,,2,,,,
CWHwm/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWHwm/08,,,,,,,,2,1,,,2,3,,,,,,,,,,,,,,,,,
CWHwm/09,,1,,,,,,2,1,,,1,2,,,,,,,,,,,,,3,,,,2
CWHwm/10,,,,,,,,2,,,,,1,,,,,,3,,,,,,,,,,,3
CWHwm/8,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2
CWHws1/01,,,,3,,,,2,1,,,,2,,,,,,2,,,,,,,,,,2,
CWHws1/02,,,,,,,,1,,,,,2,,,,,,3,,,,,,,,,,,
CWHws1/03,,,,1,,,,2,,,,,3,,,,,,3,,,,,,,,,,,
CWHws1/04,,1,,3,,,,3,1,,,,2,,,,,,1,,,,,,,,,,2,
CWHws1/05,,,,3,,,,3,1,,,,2,,,,,,,,,,,,,,,,2,
CWHws1/06,,1,,3,,,,3,1,,,,2,,,,,,,,,,,,,,,,2,
CWHws1/07,,1,,3,,,,3,1,,,,1,,,,,,,,,,,,,,,,2,
CWHws1/08,,1,,2,,,,2,1,,,,1,,,,,,,,,,,,,,,,2,
CWHws1/09,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CWHws1/10,,,,,,,,1,,,,,1,,,,,,3,,,,,,,,,,,
CWHws1/11,,1,,1,,,,3,1,,,,1,,,,,,,,,,,,,,,,2,
CWHws2/01,,1,,3,,3,,2,1,1,,1,3,,,,,,2,,,,,,,,,,2,
CWHws2/02,,,,,,,,1,,1,,1,1,,,,,,3,,,,,,,,,,,
CWHws2/03,,1,,1,,,,2,1,1,3,1,3,,,,,,3,,,,,,,,,,,
CWHws2/04,,1,,3,,3,,3,1,1,,1,2,,,,,,,,,,,,,,,,2,
CWHws2/05,,1,,3,,2,,3,1,1,,,3,,,,,,,,,,,,,,,,2,
CWHws2/06,,1,,3,,3,,3,1,1,,,2,,,,,,,,,,,,,,,,2,
CWHws2/07,,3,,3,,2,,3,3,1,,,2,,,,,,,,,,,,,,,,2,
CWHws2/08,,3,,2,,2,,2,3,1,,,1,,,,,,,,,,,,,,,,2,
CWHws2/09,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
CWHws2/10,,,,,,,,1,,1,,1,1,,,,,,3,,,,,,,,,,,
CWHws2/11,,1,,1,,,,3,1,1,,,1,,,,,,,,,,,,,,,,2,
CWHxm/01,,,,,,,,1,3,3,3,,2,,,,1,,,1,,,3,,,,,,,
CWHxm/02,,,,,,,,,,,2,,,,,,,,3,,,1,3,,,,,,,
CWHxm/03,,1,,,,,,1,1,1,3,,1,,,,1,,2,,,,3,,,,,,,
CWHxm/04,,1,,,,,,1,1,1,3,,,,,,1,,,1,,,,,,,,,,
CWHxm/05,,3,,,1,,,3,3,3,3,,1,,,,1,,,1,,,,,,,,,,
CWHxm/06,,1,,,1,,,3,3,3,2,,3,,,,1,,,,,,,,,,,,,
CWHxm/07,,3,,,3,,,3,3,3,3,,1,,,,3,,,,,,,,,,,,,
CWHxm/08,,3,,,3,,,3,3,3,,,,,,,3,,,,,,,,,3,,,,
CWHxm/09,,3,,,2,,,2,3,3,,,,,,,3,,,,,,,,,,,,,
CWHxm/10,,1,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,
CWHxm/11,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,
CWHxm/12,,1,,,,,,3,1,1,,,1,,,,1,,,1,,,,,,1,,,,
CWHxm/13,,3,,,3,,,3,3,3,2,,,,,,3,,,,,,,,,,,,,
CWHxm/14,,3,,,3,,,3,3,3,,,,,,,3,,,,,,,,,,,,,
CWHxm/15,,1,,,,,,3,1,1,,,,,,,1,,,,,,,,,,,,,
ESSFdc1/101,,,,,,2,,,,,,,,,,,,,2,,,,,,3,,,,,
ESSFdc1/102,,,,,,1,,,,,,,,,,,,1,3,,,,,,2,,,,,
ESSFdc1/103,,,,,,1,,,,,,,,,,,,1,3,,,,,,2,,,,,
ESSFdc1/104,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFdc1/110,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFdc1/111,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFdc1/112,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,
ESSFdc2/01,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,
ESSFdc2/02,,,,,,1,,,,,,,,,,,,,3,,,,,,1,,,,,
ESSFdc2/03,,,,,,1,,,,,,,,,,,,1,3,,,,,,1,,,,,
ESSFdc2/04,,,,,,1,,,,,,,,,,,,,3,,,,,,1,,,,,
